NAME                                              STATUS    ISIN CODE           CODE      TRADING COUNTER NAME
21VIANETGPUS$200M7%N200817                                  XS1640517907        7I4B      21Vianet n7%200817S
ASTREA V S$315M3.85%B290620                                 SGXF22124493        5A1B      Astrea V3.85%B290620#
ASTREA V US$140M5.75%B290620                                XS2006258896        IGTB      Astrea V 5.75%B290620S
ASTREA V US$230M4.5%B290620                                 XS2006258540        KDWB      Astrea V 4.5%B290620S
ATLANTIC NAVIGATION HLDG(S)LTD                              SG2F00983534        5UL       Atlantic Nav
AUCKLAND COU NOK1.4B 4%N280909                              XS0964196603        2ZFB      AucklandCouncil4%280909S
AUCKLANDC EUR500M0.125%N290926                              XS2055663764        KJIB      AucklandCn0.125%290926S
AUCKLANDC EUR500M0.625%N241113                              XS1716946717        84ZB      AucklandCn0.625%241113S
AUCKLANDC NOK1B 2.0775%N311128                              XS1514161956        61YB      AucklandCn2.0775%311128S
AUCKLANDCOEU185M 2.125%N340324                              XS1045821847        3E4B      AucklandC2.125%340324S
AUCKLANDCOUN EU500M1%N270119                                XS1520344745        67KB      AucklandCoun1%270119S
AURIZON EUR500M2%N240918                                    XS1111428402        16KB      Aurizon n2%240918S
AURIZON EUR500M3.125%N260601                                XS1418788599        4E4B      Aurizon n3.125%260601S
AUSDRILL US$300M6.875%N191101A                              US05210QAA58        2LOB      Ausdril6.875%191101A
AUSDRILL US$300M6.875%N191101R                              USQ0700QAA50        2LPB      Ausdril6.875%191101R
AUSGRID EUR650M1.25%N250730                                 XS1812905526        8TMB      Ausgrid n1.25%250730S
AUSGROUP LIMITED                                            SG1R38924838        5GJ       AusGroup^
AUSGROUP S$110M 5% N221203                                  SG6TF6000008        18WB      AusGroup 5% n221203S^
AUSNETSHPLEU$500M2.375%N200724                              XS0953783239        2XPB      AusNetSHPL2.375%200724S
AUSTPACAP EUR350M1.75%N241015                               XS1121229402        18PB      AustPacAir 1.75%n241015S
AUSTPACAP EUR550M3.125%N230926                              XS0974122516        2C8B      AustPacAir3.125%n230926S
AUSTPACAP NOK1.5B2.7%N300927                                XS1493831314        6L2B      AustPacAir 2.7%n300927S
AUTOPISTAUS$300M7.375%N301230A                              US05330RAA86        72HB      Autopistasn7.375%301230A
AUTOPISTAUS$300M7.375%N301230R                              USP05875AB84        72IB      Autopistasn7.375%301230R
AVARGA LIMITED                                              SG1K55001665        U09       Avarga
AVATIONCAP US$300M6.5%210515A                               US05351CAA53        8ULB      AvationCap n6.5%210515A
AVATIONCAP US$300M6.5%210515R                               USL56473AA67        8UMB      AvationCap n6.5%210515R
AVATIONCAP US$50M6.5%210515RT                               USL56473AB41        PHMB      AvationCap n6.5%210515RT
AVIANCA US$484.419M9%N230510A                               US05367GAB68        94OB      Avianca n9%230510A
AVIANCA US$484.419M9%N230510R                               USP06048AB19        VA6B      Avianca n9%230510R
AVIANCA US$550M8.375%N200510A                               USP06048AA36        FAAB      Avianca n8.375%200510A
AVIANCA US$550M8.375%N200510R                               US05367GAA85        V2PB      Avianca n8.375%200510R
AVIFUND USD500M2.85%200916A                                 US002364AA53        35MB      AviFund n2.85%200916A
AVIFUND USD500M2.85%200916R                                 XS1291169867        35LB      AviFund n2.85%200916R
AVIFUND USD500M3.8%250916A                                  US002364AB37        35KB      AviFund n3.8%250916A
AVIFUND USD500M3.8%250916R                                  XS1291170360        35JB      AviFund n3.8%250916R
AVI-TECH ELECTRONICS LIMITED                                SG1CC0000008        BKY       Avi-Tech
AVJENNINGS LIMITED                                          AU000000AVJ0        A05       AVJennings A$
AXCELASIA INC.                                              MYA012218006        42U       Axcelasia
AXIATAUS$500M3.466%SUKUK201119                              XS1316202255        37MB      Axiata suk3.466%201119S
AXIATAUS$500M4.357%SUKUK260324                              XS1382802095        3U7B      Axiata suk4.357%260324S
AXIS BK US$500M 5.125%N170905A                              US05463CAB81        7YZB      AxisBk5.125%n170905A
AXIS BK US$500M 5.125%N170905R                              US05463EAB48        7ZAB      AxisBk5.125%n170905R
AXISBK US$40M3.817%N240418                                  XS1984154481        SCLB      AxisBk n3.817%240418S
AXISBK US$500M3%N220808A                                    US05463CAE21        7F0B      AxisBk n3%220808A
AXISBK US$500M3%N220808R                                    XS1659030305        7F1B      AxisBk n3%220808R
AXISBKUS$500M2.875%N210601A                                 US05463CAD48        4D4B      AxisBk n2.875%210601A
AXISBKUS$500M2.875%N210601R                                 XS1410341389        4D5B      AxisBk n2.875%210601R
AXISBKUS$500M3.25%N200521A                                  US05463CAC64        21EB      AxisBk n3.25%200521A
AXISBKUS$500M3.25%N200521R                                  US05463EAC21        21DB      AxisBk n3.25%200521R
AYC FINANCE US$400M4.85%N                                   XS2068075980        8R5B      AYCFinance n4.85%S
AYCFINANCE US$400M5.125%N                                   XS1681502537        7V7B      AYCFinance n5.125%S
AYONDO LTD.                                                 SG1ED1000001        1I5       Ayondo
AZEUS SYSTEMS HOLDINGS LTD.                                 BMG075391109        BBW       Azeus
AZIONBAOUS$185.78MZ221231A                                  XS1833304113        GQRB      AzionBao z221231A
AZIONBAOUS$185.78MZ221231D                                  XS1833304204        ROGB      AzionBao z221231D
AZIONBAOUS$185.78MZ221231R                                  XS1833303735        VDOB      AzionBao z221231R
AZULINV US$400M5.875%N241026A                               US05502FAA66        8DYB      AzulInvn5.875%241026A
AZULINV US$400M5.875%N241026R                               USU0551UAA17        8DZB      AzulInvn5.875%241026R
AZUREPOWER US$500M5.5%N221103A                              US05502JAA88        79UB      AzurePower n5.5%221103A
AZUREPOWER US$500M5.5%N221103R                              USV00027AA65        79VB      AzurePower n5.5%221103R
AZUREPUS$350.101M5.65%N241224A                              US05502TAA60        WGOB      AzurePwrSoln5.65%241224A
AZUREPUS$350.101M5.65%N241224R                              USV04008AA29        UIHB      AzurePwrSoln5.65%241224R
BAIDU INC. US$1B2.75%N190609                                US056752AD07        10MB      Baidu n2.75%190609S
BAIDU INC. US$1B3.25%N180806                                US056752AC24        2YMB      Baidu n3.25%180806S
BAIDU INC. US$400M3.425%N300407                             US056752AR92        HRQB      Baidu n3.425%300407S
BAIDU INC. US$600M3.075%N250407                             US056752AQ10        PVLB      Baidu n3.075%250407S
BAIDU INC. US$750M2.25%N171128                              US056752AA67        2MHB      Baidu n2.25%171128S
BAIDU INC. US$750M3%N200630                                 US056752AF54        31YB      Baidu n3%200630S
BAIDU INC. US$750M3.5%N221128                               US056752AB41        2MIB      Baidu n3.5%221128S
BAIDU INC.US$1B3.875%N230929                                US056752AK40        8PXB      Baidu n3.875%230929S
BAIDU INC.US$400M4.875%N281114                              US056752AN88        NZRB      Baidu n4.875%281114S
BAIDU INC.US$500M4.125%N250630                              US056752AG38        31ZB      Baidu n4.125%250630S
BAIDU INC.US$500M4.375%N280329                              US056752AL23        8PYB      Baidu n4.375%280329S
BAIDU INC.US$600M3.625%N270706                              US056752AJ76        76SB      Baidu n3.625%270706S
BAIDU INC.US$600M4.375%N240514                              US056752AM06        KSOB      Baidu n4.375%240514S
BAIDU INC.US$900M2.875%N220706                              US056752AH11        76RB      Baidu n2.875%220706S
BAIDU.COM ADR 10                                            US0567521085        K3SD      BIDU ADR US$+
BAKER TECHNOLOGY LIMITED                                    SG1CI3000002        BTP       Baker Technology
BAN LEONG TECHNOLOGIES LIMITED                              SG1R62925800        B26       Ban Leong
BANCOGEN US$550M4.125%N270807A                              US059597AE41        7I5B      BancoGenn4.125%270807A
BANCOGEN US$550M4.125%N270807R                              USP12651AB49        7I6B      BancoGenn4.125%270807R
BANCOMERC US$350M 6.875% PCN A                              US05962GAH20        78QB      BancoMerc6.875%PCN A
BANCOMERC US$350M 6.875% PCN R                              USP14008AD19        78RB      BancoMerc6.875%PCN R
BANCOMERC US$500M 7.5% PCN A                                US05971PAB40        WPMB      BancoMerc 7.5%PCN A
BANCOMERC US$500M 7.5% PCN R                                USP1400MAB48        NFVB      BancoMerc 7.5%PCN R
BANCOMERC US$500M5.75%N311004A                              US05962GAF63        4Y0B      BancoMerc n5.75%311004A
BANCOMERC US$500M5.75%N311004R                              USP14008AC36        4Y1B      BancoMerc n5.75%311004R
BANCOMERC US$550M 7.625% PCN A                              US05962GAJ85        78SB      BancoMerc7.625%PCN A
BANCOMERC US$550M 7.625% PCN R                              USP14008AE91        78TB      BancoMerc7.625%PCN R
BANCOMERC US$600M 6.75% PCN A                               US05971PAA66        ZUMB      BancoMerc 6.75%PCN A
BANCOMERC US$600M 6.75% PCN R                               USP1400MAA64        8XMB      BancoMerc 6.75%PCN R
BANGKOKBK US$500M5%N231003A                                 US059895AQ53        2E1B      BKKBkn5%231003A
BANGKOKBK US$500M5%N231003R                                 USY06072AC92        2E2B      BKKBkn5%231003R
BANGKOKBK US$600M4.05%N240319A                              US059895AR37        RGLB      BKKBkn4.05%240319A
BANGKOKBK US$600M4.05%N240319R                              USY0606WBY58        ETTB      BKKBkn4.05%240319R
BANGKOKBK US$600M4.45%N280919A                              US059895AS10        EJAB      BKKBkn4.45%280919A
BANGKOKBK US$600M4.45%N280919R                              USY0606WBZ24        VLQB      BKKBkn4.45%280919R
BANGKOKBK US$800M4.8%N201018A                               US059895AL66        4MBB      BKKBkn4.8%201018A
BANGKOKBK US$800M4.8%N201018R                               USY0606WBS80        4MCB      BKKBkn4.8%201018R
BANGKOKBKUS$1.2B3.733%N340925A                              US059895AT92        XR8B      BKKBk n3.733%340925A
BANGKOKBKUS$1.2B3.733%N340925R                              USY0606WCA63        TPMB      BKKBkn3.733%340925R
BANGKOKBKUS$800M3.875%N220927A                              US059895AN23        2IXB      BKKBkn3.875%220927A
BANGKOKBKUS$800M3.875%N220927R                              USY0606WBU37        2IYB      BKKBkn3.875%220927R
BANGLALI US$300M8.625%N190506A                              US059897AA67        3N2B      Banglalinkn8.625%190506A
BANGLALI US$300M8.625%N190506R                              USY0629LAA53        3N1B      Banglalinkn8.625%190506R
BANISTMO US$500M3.65%N220919A                               US06034LAA89        7X9B      Banistmon3.65%220919A
BANISTMO US$500M3.65%N220919R                               USP15383AC95        7Y0B      Banistmon3.65%220919R
BANKCEYLONUS$500M5.325%180416                               XS0914798268        2TDB      BkCeylo5.325%180416S
BANKOFCHINACNY1.5B 3.95%200630                              TW000F030044        32IB      BankOfChinan3.95%200630S
BANKOFCHINACNY500M4.05%N220630                              TW000F030051        32JB      BankOfChinan4.05%220630S
BANKOFCHINACNY500M4.15%N250630                              TW000F030069        32GB      BankOfChinan4.15%250630S
